PDB1,PDB2,Frechet_Distance
1a14,6j5d,78.529052734375
1a14,6j5f,79.62080383300781
1a14,6j9o,118.4810791015625
1a14,6k4z,83.52254486083984
1a14,6k65,147.13365173339844
1a14,6j71,736.9432983398438
1a14,6ks0,113.0235824584961
1a14,6ks1,71.12783813476562
1a14,6kr0,88.5369873046875
1a14,6lcs,141.3357391357422
1a14,6kyz,151.0161590576172
1a14,6lfv,103.46391296386719
1a14,6lfw,117.12445068359375
1a14,6lfx,111.64399719238281
1a14,6lz4,147.61180114746094
1a14,6iw2,166.10745239257812
1a14,6kz0,172.1377716064453
1a14,6osh,113.88939666748047
1a14,6lgw,184.645263671875
1a14,6p79,75.07852172851562
1a14,6osv,115.18510437011719
1a14,6pil,86.61953735351562
1a14,6oan,182.65708923339844
1a14,6qb3,130.18540954589844
1a14,6qb4,87.01113891601562
1a14,6pk8,90.37368774414062
1a14,6pcu,209.00772094726562
1a14,6ol7,390.0320739746094
1a14,6qb9,142.4506072998047
1a14,6qfc,130.10684204101562
1a14,6qf9,123.24305725097656
1a14,6tgg,90.95206451416016
1a14,6tou,136.8321990966797
1a14,6qf6,196.52105712890625
1a14,6uy3,107.64855194091797
1a14,6uup,366.7718505859375
1a14,6vrp,136.47952270507812
1a14,6tnp,124.68014526367188
1a14,6vun,116.57181549072266
1a14,6vup,143.48687744140625
1a14,6vuo,120.3621597290039
1a14,6wzn,104.38031768798828
1a14,6vug,159.60848999023438
1a14,6y6c,154.22665405273438
1a14,6yx9,146.14598083496094
1a14,6yxd,143.6458282470703
1a14,6vep,184.4139404296875
1a14,7a3o,149.220458984375
1a14,7cea,119.3678970336914
1a14,7aql,149.04299926757812
1a14,7eq3,141.23599243164062
1a14,7a3q,333.7672424316406
1a14,7ceb,127.83905029296875
1a14,7jum,125.16539764404297
1a14,7kbm,144.92169189453125
1a14,7kbo,145.63003540039062
1a14,7df1,171.72897338867188
1a14,7jtr,289.87982177734375
1a14,7km6,140.35621643066406
1a14,7k93,130.97256469726562
1a14,7rk1,117.47566986083984
1a14,7kd6,207.23655700683594
1a14,7rk2,143.58505249023438
1a14,7tzh,152.95143127441406
1a14,7u9e,106.1109848022461
1a14,7u9w,92.34639739990234
1a14,7ua2,155.7411346435547
1a14,7ua8,150.0484619140625
1a14,7ubs,181.58168029785156
1a14,7pa6,210.90234375
1a14,7pa7,170.6387176513672
1a14,7uc8,171.7625274658203
1a14,7url,83.37074279785156
1a14,7vyt,70.16864776611328
1a14,7w7q,92.1069107055664
1a14,7ufw,164.9956512451172
1a14,8axh,90.75548553466797
1a14,7zwf,100.20667266845703
1a14,7ucq,159.4021759033203
1a14,7wvg,119.03610229492188
1a14,8dgr,126.47801971435547
1a14,8cge,147.2646484375
1a14,8dy0,94.06014251708984
1a14,8dy3,124.00184631347656
1a14,8dy4,114.74506378173828
1a14,8dy1,167.97010803222656
1a14,8dzv,291.52362060546875
1a14,8dy2,137.79864501953125
